old_cite	new_cite	jaccard	status	alternates
N.D. Const. § 102		0.01	NOMATCH	N.D. Const. art. III, § 7=0.01; N.D. Const. art. III, § 6=0.01
N.D. Const. pmbl.		0.009	NOMATCH	N.D. Const. art. XIII, § 3=0.01; N.D. Const. art. XIV, § 3=0.01
N.D. Const. § 138		0.009	NOMATCH	N.D. Const. art. XIII, § 4=0.01; N.D. Const. art. VIII, § 1=0.01
N.D. Const. § 37		0.008	NOMATCH	N.D. Const. art. V, § 10=0.00; N.D. Const. art. IV, § 9=0.00
N.D. Const. § 106		0.008	NOMATCH	N.D. Const. art. XI, § 9=0.01; N.D. Const. art. IV, § 6=0.01
N.D. Const. § 111		0.008	NOMATCH	N.D. Const. art. VI, § 1=0.01; N.D. Const. art. XI, § 11=0.01
N.D. Const. § 168		0.007	NOMATCH	N.D. Const. art. VIII, § 6=0.00; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 105		0.005	NOMATCH	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 142		0.005	NOMATCH	N.D. Const. art. IX, § 8=0.00; N.D. Const. art. V, § 10=0.00
N.D. Const. § 60		0.004	NOMATCH	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 63		0.004	NOMATCH	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 80		0.003	NOMATCH	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 25		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 26		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 30		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 33		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 47		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 54		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 55		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 57		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 62		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 69		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 78		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 117		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 123		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 124		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 125		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 126		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 127		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 128		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 129		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 132		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 136		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 137		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 145		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 159		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 162		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 171		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 212		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 214		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. § 217		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 1		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 2		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 3		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 4		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 5		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 6		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 7		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 8		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 9		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 10		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 11		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 12		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 13		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 14		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 15		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 16		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 17		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 18		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 19		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 20		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 21		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 22		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 23		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 24		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. Schedule, § 25		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. XXXIII		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. XXXVI		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. XL		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. LIX		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. LXV		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. LXXXVII		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
N.D. Const. amend. art. LXXXVIII		0.0	NOMATCH	N.D. Const. art. XVI, § 4=0.00; N.D. Const. art. XVI, § 3=0.00
